ID Gerador,Pot̻ncia do Gerador (em W),ID do Produto,Nome do Produto,Quantidade Item
10000,500,1001,Painel Solar 500 W Marca A,1
10000,500,2001,Controlador de Carga 30A Marca E,1
10000,500,3001,Inversor 500W Marca D,1
10001,500,1002,Painel Solar 500 W Marca B,1
10001,500,2001,Controlador de Carga 30A Marca E,1
10001,500,3001,Inversor 500W Marca D,1
10002,500,1003,Painel Solar 500 W Marca C,1
10002,500,2001,Controlador de Carga 30A Marca E,1
10002,500,3001,Inversor 500W Marca D,1
10003,1000,1001,Painel Solar 500 W Marca A,2
10003,1000,2003,Controlador de Carga 40A Marca D,1
10003,1000,3002,Inversor 1000W Marca D,1
10004,1000,1002,Painel Solar 500 W Marca B,2
10004,1000,2003,Controlador de Carga 40A Marca D,1
10004,1000,3002,Inversor 1000W Marca D,1
10005,1000,1003,Painel Solar 500 W Marca C,2
10005,1000,2003,Controlador de Carga 40A Marca D,1
10005,1000,3002,Inversor 1000W Marca D,1